Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
57;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 2 ; 33.944.738 ; 4 ; 1.716.478 ; 2 ; 223 ; 10 ; 88.702 ; 18 ; 35.750.140 ; 3 ; 43.849.842 ; 6 ; 79.826.900 ; 9 ; 123.676.742 ; 27 ; 159.426.882 ;
58;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 157 ; 5.960.016 ; 967 ; 29.289.771 ; 1.726 ; 15.268.109 ; 3.656 ; 28.003.991 ; 6.506 ; 78.521.888 ; 712 ; 57.989.128 ; 83 ; 21.825.642 ; 795 ; 79.814.770 ; 7.301 ; 158.336.657 ;
59;00.416.968;BANCO INTER S.A.; 8 ; 1.042.860 ; 8 ; 93.034 ; 13.626 ; 67.990.749 ; 22.715 ; 53.670.745 ; 36.357 ; 122.797.389 ; 9 ; 2.549.813 ; 14 ; 23.317.305 ; 23 ; 25.867.118 ; 36.380 ; 148.664.507 ;
60;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 142.650 ; 47.685.827 ; 220.585 ; 63.745.570 ; 363.235 ; 111.431.397 ; 107 ; 20.476.245 ; 110 ; 5.803.292 ; 217 ; 26.279.537 ; 363.452 ; 137.710.934 ;
61;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 1 ; 500.000 ; 21 ; 31.932.294 ; 56 ; 14.830.290 ; 149 ; 31.953.809 ; 227 ; 79.216.393 ; 58 ; 50.158.561 ; 9 ; 1.631.910 ; 67 ; 51.790.471 ; 294 ; 131.006.863 ;
62;45.246.410;BANCO GENIAL S.A.; 9 ; 728.774 ; 48 ; 3.071.688 ; 282 ; 27.826.897 ; 374 ; 62.421.843 ; 713 ; 94.049.202 ; 19 ; 35.624.286 ;;; 19 ; 35.624.286 ; 732 ; 129.673.488 ;
63;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 19 ; 1.835.108 ; 95 ; 8.738.221 ; 7.932 ; 14.698.060 ; 14.387 ; 37.528.122 ; 22.433 ; 62.799.511 ; 3.844 ; 47.435.963 ; 401 ; 17.578.515 ; 4.245 ; 65.014.478 ; 26.678 ; 127.813.989 ;
64;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 29 ; 26.924.328 ; 64 ; 10.532.905 ; 60 ; 2.889.003 ; 116 ; 7.799.885 ; 269 ; 48.146.121 ; 56 ; 25.407.475 ; 24 ; 44.772.756 ; 80 ; 70.180.231 ; 349 ; 118.326.351 ;
65;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 21 ; 2.147.354 ; 233 ; 23.276.561 ; 555 ; 9.918.408 ; 2.457 ; 29.176.217 ; 3.266 ; 64.518.540 ; 494 ; 43.496.474 ; 35 ; 3.118.443 ; 529 ; 46.614.917 ; 3.795 ; 111.133.456 ;
66;60.889.128;BANCO SOFISA S.A.; 182 ; 41.992.088 ; 87 ; 7.553.991 ; 19 ; 4.339.835 ; 118 ; 3.130.887 ; 406 ; 57.016.801 ; 6 ; 7.004.494 ; 17 ; 42.004.486 ; 23 ; 49.008.980 ; 429 ; 106.025.781 ;
67;30.723.886;BANCO MODAL S.A.; 2 ; 2.620.527 ; 2 ; 124.493 ; 168 ; 41.162.051 ; 128 ; 22.280.614 ; 300 ; 66.187.685 ; 2 ; 5.001.502 ; 7 ; 34.061.889 ; 9 ; 39.063.391 ; 309 ; 105.251.076 ;
68;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 121 ; 3.697.214 ; 1.017 ; 33.319.403 ; 545 ; 7.177.946 ; 1.182 ; 10.669.401 ; 2.865 ; 54.863.964 ; 494 ; 39.950.626 ; 73 ; 6.820.184 ; 567 ; 46.770.810 ; 3.432 ; 101.634.773 ;
