Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
60;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 36 ; 1.044.702 ; 200 ; 2.644.259 ; 1.300 ; 9.101.555 ; 4.191 ; 53.262.070 ; 5.727 ; 66.052.585 ; 886 ; 45.912.315 ; 5 ; 252.466 ; 891 ; 46.164.781 ; 6.618 ; 112.217.366 
61;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 132 ; 45.983.895 ; 187 ; 10.396.179 ; 319 ; 56.380.075 ; 4 ; 8.166.039 ; 42 ; 43.600.000 ; 46 ; 51.766.039 ; 365 ; 108.146.113 
62;62.144.175;BANCO PINE S.A.; 17 ; 6.403.128 ; 4 ; 6.050.963 ; 4 ; 10.554.803 ; 37 ; 26.514.973 ; 62 ; 49.523.866 ; 5 ; 36.352.000 ; 3 ; 21.370.200 ; 8 ; 57.722.200 ; 70 ; 107.246.066 
63;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 4 ; 3.514.272 ; 11 ; 2.713.895 ; 8 ; 172.608 ; 71 ; 4.608.096 ; 94 ; 11.008.871 ; 18 ; 84.685.690 ; 14 ; 9.698.630 ; 32 ; 94.384.320 ; 126 ; 105.393.191 
64;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 87 ; 1.564.223 ; 1.073 ; 23.213.318 ; 669 ; 9.173.457 ; 2.586 ; 24.170.447 ; 4.415 ; 58.121.445 ; 1.503 ; 40.114.568 ; 24 ; 3.530.065 ; 1.527 ; 43.644.633 ; 5.942 ; 101.766.078 
65;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 38 ; 40.108.333 ; 46 ; 5.795.627 ; 16 ; 102.223 ; 37 ; 1.301.606 ; 137 ; 47.307.789 ; 16 ; 8.599.583 ; 21 ; 41.835.616 ; 37 ; 50.435.199 ; 174 ; 97.742.988 
66;92.894.922;BANCO ORIGINAL S.A.; 14 ; 22.447.076 ; 17 ; 6.199.993 ; 45 ; 7.758.330 ; 207 ; 34.801.786 ; 283 ; 71.207.185 ; 8 ; 10.529.784 ; 2 ; 10.000.000 ; 10 ; 20.529.784 ; 293 ; 91.736.969 
67;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 93 ; 156.364 ; 254 ; 1.289.384 ; 347 ; 1.445.748 ; 533 ; 44.326.288 ; 342 ; 43.192.238 ; 875 ; 87.518.526 ; 1.222 ; 88.964.274 
68;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 1 ; 2.616.713 ; 18 ; 2.335.637 ; 43 ; 19.216.865 ; 63 ; 23.573.638 ; 125 ; 47.742.853 ; 16 ; 18.651.405 ; 10 ; 14.595.211 ; 26 ; 33.246.616 ; 151 ; 80.989.469 
69;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 24 ; 2.360.267 ; 22 ; 688.456 ; 6 ; 88.887 ; 45 ; 29.278.671 ; 97 ; 32.416.280 ; 7 ; 36.000.000 ; 2 ; 10.000.000 ; 9 ; 46.000.000 ; 106 ; 78.416.280 
70;59.118.133;BANCO LUSO BRASILEIRO S.A.; 47 ; 7.864.430 ; 237 ; 22.439.707 ; 49 ; 2.526.275 ; 171 ; 5.491.337 ; 504 ; 38.321.749 ; 271 ; 28.183.725 ; 80 ; 10.646.103 ; 351 ; 38.829.828 ; 855 ; 77.151.577 
