Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
57;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 45 ; 1.224.264 ; 207 ; 2.546.051 ; 1.296 ; 8.781.213 ; 5.295 ; 62.539.283 ; 6.843 ; 75.090.812 ; 1.313 ; 55.076.814 ; 1 ; 15.000 ; 1.314 ; 55.091.814 ; 8.157 ; 130.182.626 
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 857 ; 8.239.520 ; 3.997 ; 62.311.408 ; 4.854 ; 70.550.928 ; 3.275 ; 55.112.293 ; 13 ; 66.967 ; 3.288 ; 55.179.260 ; 8.142 ; 125.730.188 
59;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 4 ; 6.088.721 ; 25 ; 1.438.298 ; 19 ; 41.005.713 ; 51 ; 53.634.640 ; 99 ; 102.167.372 ; 18 ; 15.264.919 ; 9 ; 7.445.480 ; 27 ; 22.710.399 ; 126 ; 124.877.770 
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 118 ; 2.182.384 ; 1.263 ; 26.987.006 ; 686 ; 7.946.613 ; 2.431 ; 24.798.734 ; 4.498 ; 61.914.737 ; 1.480 ; 45.117.617 ; 18 ; 3.166.366 ; 1.498 ; 48.283.983 ; 5.996 ; 110.198.720 
61;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 79 ; 36.919.273 ; 80 ; 22.862.305 ; 159 ; 59.781.578 ; 31 ; 16.665.600 ; 28 ; 30.730.500 ; 59 ; 47.396.100 ; 218 ; 107.177.678 
62;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 13 ; 2.802.450 ; 7 ; 3.643.498 ; 2.290 ; 45.271.933 ; 128 ; 2.863.660 ; 2.438 ; 54.581.541 ; 37 ; 5.427.224 ; 88 ; 46.994.417 ; 125 ; 52.421.642 ; 2.563 ; 107.003.183 
63;30.723.886;BANCO MODAL S.A.; 13 ; 8.195.120 ; 84 ; 18.858.413 ; 95 ; 20.253.213 ; 148 ; 21.533.866 ; 340 ; 68.840.612 ; 11 ; 22.976.164 ; 7 ; 14.012.744 ; 18 ; 36.988.908 ; 358 ; 105.829.520 
64;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 544 ; 24.224.929 ; 385 ; 11.265.729 ; 246 ; 8.417.223 ; 216 ; 19.282.315 ; 1.391 ; 63.190.196 ; 15 ; 15.457.396 ; 16 ; 17.248.524 ; 31 ; 32.705.919 ; 1.422 ; 95.896.115 
65;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 25 ; 186.252 ; 282 ; 5.882.380 ; 518 ; 4.633.314 ; 1.942 ; 21.833.423 ; 2.767 ; 32.535.369 ; 2.261 ; 43.055.883 ; 252 ; 20.132.559 ; 2.513 ; 63.188.442 ; 5.280 ; 95.723.811 
66;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 50 ; 1.032.098 ; 447 ; 9.299.494 ; 2.411 ; 3.706.193 ; 1.650 ; 19.235.562 ; 4.558 ; 33.273.347 ; 1.857 ; 41.352.337 ; 504 ; 16.920.957 ; 2.361 ; 58.273.295 ; 6.919 ; 91.546.642 
67;59.118.133;BANCO LUSO BRASILEIRO S.A.; 62 ; 3.963.352 ; 268 ; 27.492.970 ; 47 ; 4.877.287 ; 171 ; 7.566.799 ; 548 ; 43.900.408 ; 280 ; 35.049.700 ; 61 ; 8.833.924 ; 341 ; 43.883.624 ; 889 ; 87.784.033 
68;07.679.404;BANCO TOPÁZIO S.A.; 1 ; 2.297 ; 1 ; 23.775 ; 39 ; 2.361.928 ; 177 ; 40.184.947 ; 218 ; 42.572.947 ; 71 ; 38.102.290 ; 6 ; 248.138 ; 77 ; 38.350.428 ; 295 ; 80.923.375 
69;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 136 ; 2.967.519 ; 971 ; 24.849.445 ; 425 ; 6.877.418 ; 826 ; 11.187.948 ; 2.358 ; 45.882.331 ; 406 ; 29.715.610 ; 31 ; 3.589.840 ; 437 ; 33.305.450 ; 2.795 ; 79.187.780 
70;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 48 ; 29.476.566 ; 54 ; 2.982.509 ; 63 ; 2.133.088 ; 62 ; 3.770.083 ; 227 ; 38.362.246 ; 32 ; 7.232.188 ; 32 ; 30.127.188 ; 64 ; 37.359.376 ; 291 ; 75.721.622 
