Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
56;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 39 ; 55.716.662 ; 65 ; 11.483.369 ; 49 ; 214.618 ; 68 ; 1.548.054 ; 221 ; 68.962.703 ; 50 ; 11.911.924 ; 33 ; 54.768.131 ; 83 ; 66.680.056 ; 304 ; 135.642.759 ;;;;
57;00.997.185;BANCO B3 S.A.;;;;; 79 ; 28.537.924 ; 97 ; 43.364.104 ; 176 ; 71.902.028 ; 57 ; 37.529.737 ; 17 ; 22.701.339 ; 74 ; 60.231.076 ; 250 ; 132.133.104 ;;;;
58;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 8 ; 743.268 ; 32 ; 4.709.102 ; 1.966 ; 60.973.897 ; 125 ; 2.284.818 ; 2.131 ; 68.711.085 ; 41 ; 3.790.379 ; 134 ; 58.513.913 ; 175 ; 62.304.292 ; 2.306 ; 131.015.376 ;;;;
59;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 1.041 ; 37.823.485 ; 19.941 ; 56.985.711 ; 20.982 ; 94.809.196 ; 193 ; 24.321.643 ; 350 ; 4.672.546 ; 543 ; 28.994.189 ; 21.525 ; 123.803.385 ;;;;
60;30.723.886;BANCO MODAL S.A.; 5 ; 255.658 ; 55 ; 7.879.144 ; 99 ; 28.871.276 ; 106 ; 29.006.246 ; 265 ; 66.012.324 ; 7 ; 28.752.700 ; 3 ; 25.002.757 ; 10 ; 53.755.456 ; 275 ; 119.767.780 ;;;;
61;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 26 ; 26.805.272 ; 13 ; 29.347.012 ; 39 ; 56.152.284 ; 4 ; 24.900.000 ; 11 ; 20.405.000 ; 15 ; 45.305.000 ; 54 ; 101.457.284 ;;;;
62;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 609 ; 23.961.094 ; 458 ; 9.959.652 ; 338 ; 11.368.522 ; 200 ; 17.710.144 ; 1.605 ; 62.999.412 ; 12 ; 11.839.335 ; 22 ; 18.033.527 ; 34 ; 29.872.862 ; 1.639 ; 92.872.275 ;;;;
63;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 10 ; 28.137.097 ; 54 ; 16.876.237 ; 8 ; 639.720 ; 90 ; 6.658.610 ; 162 ; 52.311.664 ; 12 ; 14.741.483 ; 12 ; 19.740.102 ; 24 ; 34.481.585 ; 186 ; 86.793.250 ;;;;
64;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 57 ; 939.269 ; 265 ; 3.150.666 ; 1.380 ; 10.246.848 ; 3.301 ; 36.148.604 ; 5.003 ; 50.485.387 ; 660 ; 28.681.893 ; 8 ; 460.494 ; 668 ; 29.142.387 ; 5.671 ; 79.627.774 ;;;;
65;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 822 ; 9.076.089 ; 2.727 ; 39.649.209 ; 3.549 ; 48.725.298 ; 2.379 ; 29.729.168 ; 15 ; 35.921 ; 2.394 ; 29.765.089 ; 5.943 ; 78.490.387 ;;;;
66;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 101 ; 1.643.511 ; 1.008 ; 19.192.168 ; 609 ; 9.165.962 ; 1.553 ; 13.365.487 ; 3.271 ; 43.367.128 ; 910 ; 27.169.309 ; 36 ; 5.019.739 ; 946 ; 32.189.049 ; 4.217 ; 75.556.177 ;;;;
67;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 126 ; 2.308.457 ; 865 ; 20.748.789 ; 526 ; 9.309.914 ; 738 ; 10.869.429 ; 2.255 ; 43.236.589 ; 272 ; 21.163.773 ; 13 ; 1.373.648 ; 285 ; 22.537.421 ; 2.540 ; 65.774.011 ;;;;
68;59.118.133;BANCO LUSO BRASILEIRO S.A.; 46 ; 4.253.261 ; 214 ; 21.869.386 ; 38 ; 949.992 ; 128 ; 1.916.189 ; 426 ; 28.988.828 ; 171 ; 24.451.173 ; 87 ; 5.383.381 ; 258 ; 29.834.554 ; 684 ; 58.823.382 ;;;;
